sample_id,sample_labid,sample_sequenceid,duplicate_id,extraction_date,sample_tissuetype,sample_buffer,country,lateral_flow_test,dfat_result,diagnostic_result,test_centre,ngs_runid,ngs_rundate,ngs_location,ngs_platform,nanopore_platform,ngs_flowcell,ngs_prep,ngs_barcode,extraction_pass,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,consensus_coverage
M-1,RADDL4B-23-057,RADDL4B-23-057_1,1,21 Aug 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run3,11 Sep 2024,Philippines,Nanopore,Minion,FAQ87517,Amplicon,barcode09,fail,21210,20972,851.6942675,507.2435237,726,0,2223,11683,11678,11676,11674,11601
M-1,RADDL4B-23-057,RADDL4B-23-057_2,1,10 Dec 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode73,pass,10323,9685,581.4674824,511.0859431,469,0,3503,11894,11893,11885,11871,11797
M-10,RADDL4B-23-070,RADDL4B-23-070_1,1,16 Sep 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run7,16 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode60,pass,15279,14956,896.8835065,385.6751115,840,0,2035,11901,11893,11884,11672,11801
M-10,RADDL4B-23-070,RADDL4B-23-070_2,1,22 Nov 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run10,26 Nov 2024,Philippines,Nanopore,Minion,FAU49052,Amplicon,barcode53,pass,6822,6309,304.8300369,255.4955173,220,0,1707,11894,11887,11882,10791,11795
M-100,RADDL4B-24-102,RADDL4B-24-102_1,RADDL4B-24-102_1,16 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run5,2 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode01,pass,3666,3543,146.0369594,92.62219533,128,0,455,11887,11682,11479,7763,11181
M-100,RADDL4B-24-102,RADDL4B-24-102_1,RADDL4B-24-102_1,16 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode26,pass,69784,67991,2955.340764,1627.603845,2746,0,8348,11900,11888,11884,11678,11799
M-100,RADDL4B-24-102,RADDL4B-24-102_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode93,pass,30388,28152,1219.029668,930.8182803,973,0,4743,11894,11893,11892,11672,11796
M-103,RADDL4B-24-105,RADDL4B-24-105,1,16 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run5,2 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode02,pass,71421,70333,3029.678009,1625.137111,2979.5,0,7733,11894,11886,11883,11673,11803
M-104,RADDL4B-24-106,RADDL4B-24-106_1,1,16 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run5,2 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode03,pass,49053,48434,2040.90538,1175.73777,2018,0,5929,11819,11687,11678,11515,11601
M-104,RADDL4B-24-106,RADDL4B-24-106_2,1,12 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run2,14 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode64,pass,5661,5214,225.7340764,228.7723372,121,0,1375,11893,11887,11877,6831,11795
M-105,RADDL4B-24-107,RADDL4B-24-107,1,16 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run5,2 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode04,pass,55017,53958,2102.161498,1245.495981,2080,0,5808,11895,11885,11678,11519,11599
M-106,RADDL4B-24-120,RADDL4B-24-120_1,RADDL4B-24-120_1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r10_run1,6 Nov 2024,Philippines,Nanopore,Minion,FAZ05583,Amplicon,barcode08,fail,12981,12089,417.585652,525.7133389,231.5,0,2796,11501,10706,9791,7282,8512
M-106,RADDL4B-24-120,RADDL4B-24-120_1,RADDL4B-24-120_1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run8,17 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode91,fail,14510,14338,467.7170634,809.0159563,114,0,4146,10984,10077,8293,6895,7961
M-106,RADDL4B-24-120,RADDL4B-24-120_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run2,14 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode65,pass,16153,14856,770.6703822,572.1576621,532,0,3301,11896,11893,11885,11673,11796
M-107,RADDL4B-24-121,RADDL4B-24-121,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run8,17 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode92,fail,14686,14444,900.4616158,415.9865707,821,0,2387,11895,11893,11860,11671,11594
M-108,RADDL4B-24-122,RADDL4B-24-122,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run8,17 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode93,fail,52856,51981,2788.003017,1229.197452,2663,0,6413,11894,11893,11892,11690,11799
M-110,RADDL4B-24-124,RADDL4B-24-124_1,1,16 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run5,2 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode05,pass,66136,65427,2907.646413,1520.45009,2852.5,0,7044,11719,11689,11678,11515,11598
M-110,RADDL4B-24-124,RADDL4B-24-124_2,1,12 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run2,14 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode66,pass,9975,8901,579.6425578,373.2797657,400,0,1674,11895,11888,11885,11650,11800
M-111,RADDL4B-24-125,RADDL4B-24-125,1,16 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run5,2 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode06,pass,72484,71114,3144.007208,1622.558412,3062.5,0,7560,11892,11886,11881,11676,11762
M-113,RADDL4B-24-127,RADDL4B-24-127,1,16 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run5,2 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode07,pass,51798,51262,2505.569561,1246.698299,2385,0,6308,11895,11684,11677,11676,11598
